year,state,population,admin,handgun,long_gun,month,multiple,other,permit,totals,city,killed,injured
2013,Florida,19584927.0,91.0,44668.0,38782.0,12,1890.0,1742.0,12672.0,102760.0,Homestead (Florida City),1,3
2013,Florida,19584927.0,91.0,44668.0,38782.0,12,1890.0,1742.0,12672.0,102760.0,Miami,2,2
2013,Florida,19584927.0,231.0,37545.0,30492.0,11,1622.0,1571.0,11371.0,86342.0,Jacksonville,4,0
2013,Florida,19584927.0,132.0,34006.0,23276.0,10,1489.0,1372.0,15620.0,79284.0,Miami Gardens,0,4
2013,Florida,19584927.0,132.0,34006.0,23276.0,10,1489.0,1372.0,15620.0,79284.0,Miami,2,2
2013,Florida,19584927.0,132.0,34006.0,23276.0,10,1489.0,1372.0,15620.0,79284.0,Margate,0,4
2013,Florida,19584927.0,7.0,31866.0,20815.0,9,1351.0,1440.0,14714.0,73216.0,Palm Beach,0,4
2013,Florida,19584927.0,7.0,31866.0,20815.0,9,1351.0,1440.0,14714.0,73216.0,Kissimmee,0,5
2013,Florida,19584927.0,50.0,35828.0,20307.0,8,1545.0,1409.0,18883.0,81138.0,Lake Butler,4,1
2013,Florida,19584927.0,45.0,34204.0,18664.0,7,1365.0,1334.0,19829.0,78121.0,Hialeah,7,0
2013,Florida,19584927.0,45.0,34204.0,18664.0,7,1365.0,1334.0,19829.0,78121.0,Pompano Beach,1,3
2013,Florida,19584927.0,12.0,41943.0,25404.0,4,1649.0,2086.0,29479.0,102757.0,Williston,1,3
2013,Florida,19584927.0,1.0,48586.0,31464.0,3,1875.0,1998.0,0.0,86541.0,Belle Glade,0,5
2013,Georgia,9981773.0,0.0,11071.0,16419.0,11,493.0,310.0,10446.0,43059.0,Valdosta,0,4
2013,Georgia,9981773.0,0.0,8385.0,8957.0,9,421.0,213.0,10731.0,32309.0,Snellville,3,1
2013,Georgia,9981773.0,0.0,8591.0,6541.0,6,365.0,193.0,9392.0,28248.0,Lagrange,0,7
2013,Georgia,9981773.0,0.0,9563.0,7116.0,5,379.0,237.0,12425.0,32984.0,Atlanta,0,4
2013,Georgia,9981773.0,0.0,16404.0,12878.0,3,658.0,364.0,19191.0,53457.0,Moultrie,2,2
